Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0.2310002;4765.914;0.2310002;5447.206;0.2310002;4970.688;0.2310002;5101.027;0.2310002;4894.027;0.2310002;5563.033;0.2310002;4913.455;0.2310002;5718.772;0.2310002;6052.852;0.2310002;4384.458
0.2340002;4845.361;0.2340002;5542.146;0.2340002;5054.245;0.2340002;5189.609;0.2340002;4975.949;0.2340002;5655.882;0.2340002;5001.486;0.2340002;5812.877;0.2340002;6151.464;0.2340002;4458.684
0.2370002;4925.12;0.2370002;5637.257;0.2370002;5138.729;0.2370002;5278.191;0.2370002;5058.298;0.2370002;5750.315;0.2370002;5089.524;0.2370002;5907.534;0.2370002;6250.111;0.2370002;4534.711
0.2400002;5004.878;0.2400002;5733.201;0.2400002;5223.654;0.2400002;5368.239;0.2400002;5140.65;0.2400002;5845.228;0.2400002;5178.21;0.2400002;6003.432;0.2400002;6349.063;0.2400002;4610.909
0.2430002;5085.876;0.2430002;5829.144;0.2430002;5309.917;0.2430002;5458.582;0.2430002;5223.004;0.2430002;5941.243;0.2430002;5266.896;0.2430002;6099.379;0.2430002;6448.11;0.2430002;4688.081
0.2460002;5167.029;0.2460002;5925.439;0.2460002;5396.324;0.2460002;5549.498;0.2460002;5306.272;0.2460002;6037.364;0.2460002;5357.187;0.2460002;6195.693;0.2460002;6547.24;0.2460002;4765.63
0.2490002;5249.809;0.2490002;6021.741;0.2490002;5485.167;0.2490002;5640.735;0.2490002;5390.795;0.2490002;6134.321;0.2490002;5447.817;0.2490002;6292.008;0.2490002;6646.43;0.2490002;4844.369
0.2520002;5333.303;0.2520002;6121.06;0.2520002;5574.011;0.2520002;5732.269;0.2520002;5475.572;0.2520002;6231.279;0.2520002;5540.135;0.2520002;6386.78;0.2520002;6745.917;0.2520002;4924.166
0.2550002;5417.469;0.2550002;6221.177;0.2550002;5664.079;0.2550002;5824.163;0.2550002;5561.201;0.2550002;6327.836;0.2550002;5633.408;0.2550002;6481.423;0.2550002;6845.886;0.2550002;5004.541
0.2580002;5502.302;0.2580002;6320.282;0.2580002;5754.34;0.2580002;5916.502;0.2580002;5646.874;0.2580002;6424.359;0.2580002;5727.179;0.2580002;6576.775;0.2580002;6946.116;0.2580002;5086.051
0.2610002;5587.185;0.2610002;6418.713;0.2610002;5844.777;0.2610002;6010.105;0.2610002;5733.675;0.2610002;6520.623;0.2610002;5821.557;0.2610002;6672.389;0.2610002;7047.473;0.2610002;5167.72
0.2640002;5672.179;0.2640002;6516.654;0.2640002;5935.299;0.2640002;6103.936;0.2640002;5820.477;0.2640002;6616.791;0.2640002;5916.454;0.2640002;6768.604;0.2640002;7148.83;0.2640002;5250.315
0.2670002;5757.583;0.2670002;6613.887;0.2670002;6026.063;0.2670002;6200.808;0.2670002;5909.182;0.2670002;6714.028;0.2670002;6012.799;0.2670002;6865.335;0.2670002;7250.679;0.2670002;5332.911
0.2700002;5846.147;0.2700002;6711.364;0.2700002;6117.087;0.2700002;6297.681;0.2700002;5998.235;0.2700002;6812.18;0.2700002;6109.221;0.2700002;6962.693;0.2700002;7352.53;0.2700002;5416.764
0.2730002;5934.712;0.2730002;6809.706;0.2730002;6208.272;0.2730002;6391.649;0.2730002;6086.082;0.2730002;6910.551;0.2730002;6206.564;0.2730002;7061.244;0.2730002;7456.03;0.2730002;5500.676
0.2760001;6022.867;0.2760001;6908.142;0.2760001;6299.849;0.2760001;6485.217;0.2760001;6173.29;0.2760001;7009.333;0.2760001;6303.907;0.2760001;7159.958;0.2760001;7559.937;0.2760001;5585.992
0.2790001;6110.987;0.2790001;7009.604;0.2790001;6391.522;0.2790001;6579.046;0.2790001;6261.858;0.2790001;7108.537;0.2790001;6399.894;0.2790001;7259.581;0.2790001;7664.844;0.2790001;5671.741
0.2820001;6200.56;0.2820001;7111.067;0.2820001;6484.068;0.2820001;6672.994;0.2820001;6352.012;0.2820001;7210.032;0.2820001;6495.713;0.2820001;7359.205;0.2820001;7770.393;0.2820001;5758.008
0.2850001;6290.678;0.2850001;7213.627;0.2850001;6576.614;0.2850001;6768.583;0.2850001;6442.109;0.2850001;7311.527;0.2850001;6591.428;0.2850001;7460.694;0.2850001;7876.321;0.2850001;5844.663
0.2880001;6381.013;0.2880001;7316.395;0.2880001;6669.735;0.2880001;6865.832;0.2880001;6532.057;0.2880001;7414.363;0.2880001;6687.1;0.2880001;7562.258;0.2880001;7982.78;0.2880001;5931.89
0.2910001;6471.539;0.2910001;7419.652;0.2910001;6762.915;0.2910001;6963.147;0.2910001;6621.99;0.2910001;7517.248;0.2910001;6784.196;0.2910001;7665.083;0.2910001;8089.536;0.2910001;6020.05
0.2940001;6562.218;0.2940001;7523.169;0.2940001;6857.661;0.2940001;7060.613;0.2940001;6711.761;0.2940001;7620.279;0.2940001;6882.619;0.2940001;7768.284;0.2940001;8197.314;0.2940001;6108.499
0.2970001;6653.193;0.2970001;7626.872;0.2970001;6953.022;0.2970001;7158.32;0.2970001;6801.533;0.2970001;7723.352;0.2970001;6981.183;0.2970001;7871.838;0.2970001;8305.147;0.2970001;6198.187
0.3000001;6744.087;0.3000001;7730.788;0.3000001;7048.114;0.3000001;7257.872;0.3000001;6890.353;0.3000001;7827.296;0.3000001;7080.031;0.3000001;7975.649;0.3000001;8414.582;0.3000001;6287.874
0.3030001;6834.509;0.3030001;7835.222;0.3030001;7142.961;0.3030001;7357.424;0.3030001;6979.054;0.3030001;7931.86;0.3030001;7178.979;0.3030001;8079.994;0.3030001;8524.017;0.3030001;6377.305
0.3060001;6924.93;0.3060001;7941.025;0.3060001;7239.132;0.3060001;7457.19;0.3060001;7069.761;0.3060001;8036.72;0.3060001;7278.519;0.3060001;8185.174;0.3060001;8634.517;0.3060001;6466.736
0.309;7018.068;0.309;8046.971;0.309;7337.936;0.309;7556.973;0.309;7161.337;0.309;8142.036;0.309;7378.058;0.309;8290.594;0.309;8745.219;0.309;6556.181
0.312;7111.343;0.312;8154.45;0.312;7436.787;0.312;7658.381;0.312;7253.281;0.312;8247.921;0.312;7479.244;0.312;8396.973;0.312;8856.828;0.312;6645.629
0.315;7205.197;0.315;8261.928;0.315;7535.922;0.315;7760.373;0.315;7345.582;0.315;8356.038;0.315;7580.505;0.315;8503.369;0.315;8968.931;0.315;6735.637
0.318;7299.234;0.318;8371.559;0.318;7635.059;0.318;7863.056;0.318;7437.867;0.318;8464.151;0.318;7683.705;0.318;8611.664;0.318;9081.393;0.318;6825.991
0.321;7393.664;0.321;8481.438;0.321;7736.471;0.321;7966.314;0.321;7530.116;0.321;8571.996;0.321;7787.485;0.321;8719.959;0.321;9194.282;0.321;6917.002
0.324;7488.396;0.324;8590.315;0.324;7838;0.324;8069.78;0.324;7622.727;0.324;8679.842;0.324;7891.398;0.324;8828.476;0.324;9307.525;0.324;7008.896
0.327;7583.921;0.327;8698.777;0.327;7940.387;0.327;8173.622;0.327;7717.944;0.327;8789.263;0.327;7995.405;0.327;8937.042;0.327;9421.757;0.327;7101.05
0.33;7680.777;0.33;8808.693;0.33;8043.045;0.33;8277.846;0.33;7813.161;0.33;8899.025;0.33;8099.694;0.33;9046.646;0.33;9536.08;0.33;7194.046
0.333;7777.788;0.333;8919.971;0.333;8145.597;0.333;8383.995;0.333;7908.577;0.333;9009.32;0.333;8204.416;0.333;9156.864;0.333;9651.619;0.333;7287.099
0.336;7875.503;0.336;9031.508;0.336;8248.069;0.336;8490.145;0.336;8004.008;0.336;9119.927;0.336;8309.65;0.336;9267.593;0.336;9767.158;0.336;7381.325
0.339;7973.218;0.339;9143.579;0.339;8351.293;0.339;8597.225;0.339;8100.023;0.339;9231.209;0.339;8416.857;0.339;9378.979;0.339;9883.501;0.339;7475.55
0.3419999;8072.175;0.3419999;9255.502;0.3419999;8455.759;0.3419999;8704.329;0.3419999;8196.243;0.3419999;9343.352;0.3419999;8524.062;0.3419999;9490.654;0.3419999;9999.957;0.3419999;7572.156
0.3449999;8171.148;0.3449999;9366.479;0.3449999;8560.595;0.3449999;8813.163;0.3449999;8293.326;0.3449999;9455.65;0.3449999;8631.148;0.3449999;9603.219;0.3449999;10117.24;0.3449999;7669.169
0.3479999;8271.802;0.3479999;9477.456;0.3479999;8667.061;0.3479999;8922.475;0.3479999;8391.123;0.3479999;9568.424;0.3479999;8738.235;0.3479999;9715.848;0.3479999;10234.9;0.3479999;7766.337
0.3509999;8372.892;0.3509999;9591.521;0.3509999;8773.527;0.3509999;9032.211;0.3509999;8489.279;0.3509999;9681.298;0.3509999;8847.18;0.3509999;9829.607;0.3509999;10352.84;0.3509999;7863.582
0.3539999;8474.131;0.3539999;9705.76;0.3539999;8879.522;0.3539999;9142.237;0.3539999;8588.086;0.3539999;9795.813;0.3539999;8956.499;0.3539999;9943.367;0.3539999;10471.06;0.3539999;7961.667
0.3569999;8575.469;0.3569999;9819.708;0.3569999;8985.514;0.3569999;9252.67;0.3569999;8687.294;0.3569999;9910.329;0.3569999;9066.519;0.3569999;10057.32;0.3569999;10589.69;0.3569999;8060.691
0.3599999;8677.294;0.3599999;9933.564;0.3599999;9093.219;0.3599999;9363.707;0.3599999;8788.543;0.3599999;10024.18;0.3599999;9176.923;0.3599999;10171.31;0.3599999;10709.3;0.3599999;8159.961
0.3629999;8779.836;0.3629999;10048.59;0.3629999;9201.351;0.3629999;9474.811;0.3629999;8889.792;0.3629999;10137.93;0.3629999;9287.569;0.3629999;10285.64;0.3629999;10829.07;0.3629999;8259.857
0.3659999;8882.389;0.3659999;10164.52;0.3659999;9310.773;0.3659999;9586.167;0.3659999;8991.385;0.3659999;10253.71;0.3659999;9398.5;0.3659999;10400.14;0.3659999;10950.25;0.3659999;8359.852
0.3689999;8984.989;0.3689999;10280.96;0.3689999;9421.031;0.3689999;9697.563;0.3689999;9092.987;0.3689999;10370.44;0.3689999;9509.462;0.3689999;10515.13;0.3689999;11071.44;0.3689999;8460.826
0.3719999;9087.645;0.3719999;10398.24;0.3719999;9531.372;0.3719999;9810.916;0.3719999;9195.257;0.3719999;10487.02;0.3719999;9620.507;0.3719999;10630.66;0.3719999;11192.92;0.3719999;8561.802
0.3749999;9193.641;0.3749999;10515.55;0.3749999;9641.83;0.3749999;9924.27;0.3749999;9297.714;0.3749999;10603.44;0.3749999;9731.734;0.3749999;10746.36;0.3749999;11314.43;0.3749999;8664.503
0.3779998;9299.637;0.3779998;10632.97;0.3779998;9752.839;0.3779998;10037.68;0.3779998;9401.178;0.3779998;10720.55;0.3779998;9845.025;0.3779998;10862.48;0.3779998;11436.33;0.3779998;8767.397
0.3809998;9405.08;0.3809998;10750.38;0.3809998;9865.773;0.3809998;10151.11;0.3809998;9505.349;0.3809998;10839.3;0.3809998;9958.316;0.3809998;10978.62;0.3809998;11558.39;0.3809998;8871.493
0.3839998;9510.404;0.3839998;10868.48;0.3839998;9978.7;0.3839998;10266.41;0.3839998;9608.642;0.3839998;10958.05;0.3839998;10071.59;0.3839998;11094.97;0.3839998;11680.83;0.3839998;8976.083
