Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0.32;14691.48;0.32;16318.25;0.32;15301.98;0.32;15618.54;0.32;16415.5;0.32;16561.16;0.32;17589.31;0.32;15660.38;0.32;19281.9;0.32;13266.63
0.32;14862.49;0.32;16539.42;0.32;15510.43;0.32;15832.41;0.32;16635.85;0.32;16764.68;0.32;17790.16;0.32;15862.87;0.32;19524.9;0.32;13457.87
0.32;15033.44;0.32;16760.58;0.32;15719.16;0.32;16046.42;0.32;16856.86;0.32;16969.23;0.32;17991.78;0.32;16065.89;0.32;19767.91;0.32;13649.42
0.32;15204.47;0.32;16982.34;0.32;15928.26;0.32;16260.73;0.32;17078.24;0.32;17174.5;0.32;18193.51;0.32;16269.19;0.32;20011.31;0.32;13841.79
0.33;15375.64;0.33;17204.23;0.33;16137.54;0.33;16476.17;0.33;17301;0.33;17381.33;0.33;18394.51;0.33;16473.03;0.33;20254.71;0.33;14034.71
0.33;15546.92;0.33;17426.6;0.33;16347.39;0.33;16691.63;0.33;17523.82;0.33;17590.51;0.33;18595.16;0.33;16677.5;0.33;20498.25;0.33;14227.81
0.33;15718.74;0.33;17649.26;0.33;16557.29;0.33;16908.45;0.33;17749.97;0.33;17800.03;0.33;18795.15;0.33;16882.67;0.33;20741.81;0.33;14421.17
0.34;15890.56;0.34;17872.92;0.34;16768.24;0.34;17125.27;0.34;17976.13;0.34;18010.87;0.34;18994.44;0.34;17089.82;0.34;20985.39;0.34;14614.7
0.34;16063.1;0.34;18097.88;0.34;16979.2;0.34;17343.79;0.34;18206.14;0.34;18221.7;0.34;19193.28;0.34;17297.17;0.34;21228.97;0.34;14808.83
0.34;16235.66;0.34;18323.82;0.34;17191.77;0.34;17562.67;0.34;18436.95;0.34;18432.17;0.34;19391.04;0.34;17507.2;0.34;21472.58;0.34;15002.98
0.34;16410.28;0.34;18552.9;0.34;17404.6;0.34;17784.84;0.34;18668.74;0.34;18642.64;0.34;19588.62;0.34;17717.24;0.34;21716.22;0.34;15197.87
0.35;16585.49;0.35;18782.08;0.35;17620.2;0.35;18008.89;0.35;18901.07;0.35;18852.57;0.35;19784.51;0.35;17927.89;0.35;21959.83;0.35;15392.75
0.35;16761.97;0.35;19013.37;0.35;17837.17;0.35;18234.34;0.35;19133.69;0.35;19062.37;0.35;19980.4;0.35;18138.63;0.35;22203.37;0.35;15588.14
0.35;16939.36;0.35;19244.65;0.35;18055.4;0.35;18461.53;0.35;19366.65;0.35;19271.86;0.35;20174.67;0.35;18349.34;0.35;22446.92;0.35;15783.62
0.36;17116.73;0.36;19476.48;0.36;18275.01;0.36;18688.98;0.36;19599.63;0.36;19481.17;0.36;20368.75;0.36;18560.04;0.36;22690.72;0.36;15979.99
0.36;17294.1;0.36;19708.39;0.36;18494.75;0.36;18917.16;0.36;19832.65;0.36;19690.38;0.36;20561.41;0.36;18770.35;0.36;22934.53;0.36;16176.83
0.36;17471.41;0.36;19940.41;0.36;18714.83;0.36;19145.36;0.36;20065.71;0.36;19899.46;0.36;20753.48;0.36;18980.26;0.36;23178.01;0.36;16374.62
0.37;17648.54;0.37;20172.48;0.37;18934.91;0.37;19373.75;0.37;20299.33;0.37;20108.37;0.37;20944.48;0.37;19189.93;0.37;23421.46;0.37;16573.48
0.37;17825.68;0.37;20404.49;0.37;19155.04;0.37;19602.14;0.37;20532.95;0.37;20316.79;0.37;21134.46;0.37;19399.04;0.37;23664.77;0.37;16773.57
0.37;18002.54;0.37;20636.43;0.37;19375.17;0.37;19831.37;0.37;20767.14;0.37;20525.13;0.37;21323.71;0.37;19608.07;0.37;23908.03;0.37;16976.78
0.37;18179.4;0.37;20868.26;0.37;19595.14;0.37;20060.72;0.37;21001.41;0.37;20732.49;0.37;21511.38;0.37;19816.42;0.37;24151.31;0.37;17180.06
0.38;18355.89;0.38;21099.82;0.38;19815.09;0.38;20290.24;0.38;21235.8;0.38;20939.85;0.38;21698.81;0.38;20024.76;0.38;24394.62;0.38;17384.07
0.38;18532.29;0.38;21331.38;0.38;20035.15;0.38;20519.83;0.38;21470.23;0.38;21146.38;0.38;21884.53;0.38;20232.32;0.38;24637.8;0.38;17588.07
0.38;18708.33;0.38;21562.98;0.38;20255.25;0.38;20749.69;0.38;21704.75;0.38;21352.79;0.38;22070.25;0.38;20439.8;0.38;24880.68;0.38;17792.65
0.39;18884.14;0.39;21794.58;0.39;20475.35;0.39;20979.82;0.39;21939.37;0.39;21558.81;0.39;22253.9;0.39;20646.48;0.39;25123.46;0.39;17997.3
0.39;19059.8;0.39;22026.45;0.39;20695.45;0.39;21210.05;0.39;22174.07;0.39;21764.63;0.39;22437.4;0.39;20852.86;0.39;25365.48;0.39;18201.99
0.39;19235.29;0.39;22258.36;0.39;20915.51;0.39;21440.51;0.39;22408.98;0.39;21970.14;0.39;22618.87;0.39;21058.61;0.39;25607.5;0.39;18406.7
0.4;19410.65;0.4;22489.93;0.4;21135.53;0.4;21671.05;0.4;22643.89;0.4;22175.31;0.4;22799.63;0.4;21263.81;0.4;25849.03;0.4;18611.37
0.4;19585.65;0.4;22721.36;0.4;21355.54;0.4;21902.22;0.4;22878.87;0.4;22380.11;0.4;22978.75;0.4;21468.57;0.4;26090.51;0.4;18816
0.4;19760.62;0.4;22952.71;0.4;21575.52;0.4;22133.4;0.4;23113.84;0.4;22584.05;0.4;23156.53;0.4;21672.45;0.4;26331.31;0.4;19020.52
0.4;19934.95;0.4;23183.98;0.4;21795.51;0.4;22364.83;0.4;23348.98;0.4;22787.87;0.4;23333.45;0.4;21876.12;0.4;26571.85;0.4;19224.79
0.41;20109.28;0.41;23415.09;0.41;22015.43;0.41;22596.28;0.41;23584.14;0.41;22990.67;0.41;23508.83;0.41;22078.53;0.41;26811.77;0.41;19429.05
0.41;20282.8;0.41;23645.87;0.41;22235.36;0.41;22828.25;0.41;23819.58;0.41;23193.46;0.41;23683.73;0.41;22280.94;0.41;27051.15;0.41;19633.23
0.41;20456.17;0.41;23876.58;0.41;22454.98;0.41;23060.39;0.41;24055.14;0.41;23395.35;0.41;23856.22;0.41;22481.99;0.41;27290.05;0.41;19837.41
0.42;20629.42;0.42;24106.76;0.42;22674.51;0.42;23292.77;0.42;24290.52;0.42;23597.15;0.42;24028.71;0.42;22682.96;0.42;27528.05;0.42;20041.47
0.42;20802.59;0.42;24336.94;0.42;22893.87;0.42;23525.33;0.42;24525.76;0.42;23797.79;0.42;24198.15;0.42;22882.92;0.42;27765.82;0.42;20245.53
0.42;20975.33;0.42;24566.83;0.42;23113.11;0.42;23757.84;0.42;24760.92;0.42;23998;0.42;24367.52;0.42;23082.55;0.42;28002.42;0.42;20449.53
0.43;21147.59;0.43;24796.7;0.43;23332.15;0.43;23990.27;0.43;24995.97;0.43;24197.73;0.43;24534.76;0.43;23281.23;0.43;28239.01;0.43;20653.51
